molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL189542,180.0,nM,CCN(CC)CCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3ccccc3)cc2cn1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1900>
CHEMBL383215,180.0,nM,O=C(Nc1ccc(Cl)c(Cl)c1)c1scnc1CCc1ccncc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1970>
CHEMBL425387,180.0,nM,Cc1cccc(NC(=O)Nc2ccc(-c3c(CN(C)C)sc4ncnc(N)c34)cc2)c1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a19e0>
CHEMBL3219510,180.0,nM,COCCOc1cc2ncnc(Nc3cccc(B(O)O)c3)c2cc1OC,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1a50>
CHEMBL3690468,180.0,nM,O=C(NCC(F)(F)F)Nc1cccc(-c2cnc3cc(-c4c[nH]c(=O)cn4)ccn23)c1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1ac0>
CHEMBL3644019,180.0,nM,C[C@@H](Oc1nc(Nc2ccc(S(=O)(=O)C3CC3)cc2)ncc1C(F)(F)F)C(C)(C)O,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1b30>
CHEMBL401041,180.0,nM,Cn1ncc(NCc2ccncc2)c1C(=O)Nc1ccc(C(C)(C)C)cc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1ba0>
CHEMBL233456,180.0,nM,N#Cc1cnc(Nc2ccc(CCC(=O)N3CCOCC3)cc2)nc1-c1ccccc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1c10>
CHEMBL1681962,180.0,nM,CCNC(=O)Nc1ccc(Oc2ncnc(N)c2/C=N/OC)c(C)c1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1c80>
CHEMBL204874,180.0,nM,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(Cl)c2)o1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1cf0>
CHEMBL191265,180.0,nM,COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)cc3nc2N)c1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1d60>
CHEMBL3690462,180.0,nM,CCOc1cccc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)n1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1dd0>
CHEMBL2063318,180.0,nM,CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(NC(=O)Oc5ccccc5)cc4)n[nH]3)cc2)CC1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1e40>
CHEMBL234067,180.0,nM,N#Cc1cnc(Nc2ccc(CCO)cc2)nc1-c1ccc(Br)cc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1eb0>
CHEMBL363389,180.0,nM,COc1ccc(-c2c(-c3cccc(C(N)=O)c3)oc3ncnc(N)c23)cc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1f20>
CHEMBL363393,180.0,nM,CCCCNC(=O)Nc1ccc(-c2csc3ncnc(N)c23)cc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a1f90>
CHEMBL3694685,180.0,nM,CC(F)(F)c1cnc(-c2ccn3c(-c4cccc(NC(=O)NCC(F)(F)F)c4)cnc3c2)nc1,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2040>
CHEMBL436117,180.0,nM,CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCc4ccccc4)c(C(C)C)c23)c(F)cc1F,6.7447274948966935,True,<rdkit.Chem.rdchem.Mol object at 0x1256a20b0>
CHEMBL3758229,182.0,nM,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCC(=O)NO,6.739928612014925,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2120>
CHEMBL3287223,182.3,nM,COc1ccc(N(C)c2nc(C)nc3cc[nH]c23)cc1.Cl,6.739213331345024,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2190>
CHEMBL3397916,182.82,nM,COc1ccc(C(=O)Nc2ccc(OCCN3CCCC3)cc2)c(-c2cccc(O)c2)c1O,6.737976295393683,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2200>
CHEMBL2023490,183.0,nM,COc1cc2nccc(Oc3ccc(CC(=O)Nc4cn(C)nc4C)cc3)c2cc1OC,6.73754891026957,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2270>
CHEMBL5286909,184.0,nM,CN1C[C@@H]2CC[C@H](C1=O)N2c1ncc2[nH]nc(-c3cnn(C4CCC4)c3)c2n1,6.735182176990463,True,<rdkit.Chem.rdchem.Mol object at 0x1256a22e0>
CHEMBL210113,184.0,nM,CN1CCN(Cc2ccc3c(c2)-c2[nH]nc(-c4ccc(CNC(=O)Nc5ccccc5)s4)c2C3)CC1,6.735182176990463,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2350>
CHEMBL1940841,184.53,nM,Cc1ccc2nc(Cl)c(/C=C/C(=O)c3sccc3C)cc2c1,6.7339330182565895,True,<rdkit.Chem.rdchem.Mol object at 0x1256a23c0>
CHEMBL195567,186.0,nM,COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(NC(=O)NC3CCCCC3)cc2)cc1,6.730487055782083,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2430>
CHEMBL1940181,186.0,nM,Cc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,6.730487055782083,True,<rdkit.Chem.rdchem.Mol object at 0x1256a24a0>
CHEMBL1258603,186.0,nM,Cc1cc(C=C2C(=O)Nc3ccc(F)cc32)c2ccccc(OCCN3CCC[C@H]3CO)c1-2,6.730487055782083,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2510>
CHEMBL432196,186.0,nM,CC(=O)Nc1oc(-c2cncc(-c3ccsc3)c2)nc1-c1ccccc1,6.730487055782083,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2580>
CHEMBL237347,186.0,nM,Cc1ccc(O)cc1Nc1ccnc2ccc(S(C)(=O)=O)cc12,6.730487055782083,True,<rdkit.Chem.rdchem.Mol object at 0x1256a25f0>
CHEMBL4562600,187.0,nM,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)Nc2nc3ccc(F)cc3s2)cc1,6.7281583934635005,True,<rdkit.Chem.rdchem.Mol object at 0x1256a2660>
