smiles,MACCS similarity,pIC50,smiles,Morgan similarity,pIC50
FC(F)(F)c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,0.4166666666666667,7.397940008672037,FC(F)(F)c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,0.3237410071942446,7.397940008672037
Fc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2ccsc12,0.52,5.3979400086720375,Fc1cc(-c2nc3ccccc3s2)ccc1Nc1ncnc2ccsc12,0.3228346456692913,5.3979400086720375
NC(=O)c1cc(NC(=O)c2ccncc2)cc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,0.5925925925925926,6.022276394711152,NC(=O)c1cc(NC(=O)c2ccncc2)cc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,0.32167832167832167,6.022276394711152
COC(=O)c1cccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)c1,0.578125,5.739928612014925,COC(=O)c1cccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)c1,0.32167832167832167,5.739928612014925
COC(=O)c1ccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)cc1,0.578125,5.823908740944319,COC(=O)c1ccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)cc1,0.32167832167832167,5.823908740944319
NC(=O)c1cccc2c(NCc3cccc(C(F)(F)F)c3)ccnc12,0.5098039215686274,8.4089353929735,NC(=O)c1cccc2c(NCc3cccc(C(F)(F)F)c3)ccnc12,0.319672131147541,8.4089353929735
Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5cccc(F)c5)c4)ncnc3c2)cn1,0.5,7.721703791908726,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5cccc(F)c5)c4)ncnc3c2)cn1,0.3194444444444444,7.721703791908726
COc1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4cccc(F)c4)nc3)c1NC2,0.6166666666666667,6.494850021680094,COc1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4cccc(F)c4)nc3)c1NC2,0.3194444444444444,6.494850021680094
NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c3)ncnc12,0.49122807017543857,5.107905397309519,NC(=O)c1cccc2c(NCc3cccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c3)ncnc12,0.3194444444444444,5.107905397309519
COc1ccc2c(c1)CNc1c(Nc3cnc(NC(=O)c4cccc(F)c4)nc3)ncnc1O2,0.6271186440677966,5.958607314841775,COc1ccc2c(c1)CNc1c(Nc3cnc(NC(=O)c4cccc(F)c4)nc3)ncnc1O2,0.3194444444444444,5.958607314841775
Cc1cc(Nc2nn(CC(=O)c3ccc(C(F)(F)F)cc3)c(=O)c3ccccc23)n[nH]1,0.5072463768115942,6.142667503568731,Cc1cc(Nc2nn(CC(=O)c3ccc(C(F)(F)F)cc3)c(=O)c3ccccc23)n[nH]1,0.31851851851851853,6.142667503568731
CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,0.5,9.602059991327964,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,0.31788079470198677,9.602059991327964
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3OC(F)(F)F)n2)cc1,0.68,7.552841968657781,O=C(O)c1ccc(Nc2nccc(Nc3ccccc3OC(F)(F)F)n2)cc1,0.3178294573643411,7.552841968657781
Fc1cnc(Nc2ccc(-c3nnn[nH]3)cc2)nc1Nc1ccccc1Cl,0.5471698113207547,5.522878745280337,Fc1cnc(Nc2ccc(-c3nnn[nH]3)cc2)nc1Nc1ccccc1Cl,0.3178294573643411,5.522878745280337
NC(=O)c1cccc2c(NCc3ccc(NC(=O)c4cccc(C(F)(F)F)c4)cc3)ncnc12,0.5185185185185185,6.6777807052660805,NC(=O)c1cccc2c(NCc3ccc(NC(=O)c4cccc(C(F)(F)F)c4)cc3)ncnc12,0.31690140845070425,6.6777807052660805
O=C(Nc1ncc(Nc2ncnc3c2NCc2ccccc2O3)cn1)c1ccccc1,0.5087719298245614,5.721246399047171,O=C(Nc1ncc(Nc2ncnc3c2NCc2ccccc2O3)cn1)c1ccccc1,0.31654676258992803,5.721246399047171
c1ccc(-c2ccc(-c3nc4cccnc4[nH]3)cc2)nc1,0.3617021276595745,5.356547323513812,c1ccc(-c2ccc(-c3nc4cccnc4[nH]3)cc2)nc1,0.3162393162393162,5.356547323513812
COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3)c2cc1OC,0.5454545454545454,6.455931955649724,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3)c2cc1OC,0.3161764705882353,6.455931955649724
CCN(CC)c1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,0.45454545454545453,5.301029995663981,CCN(CC)c1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,0.31543624161073824,5.301029995663981
Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ccnc2c1,0.46938775510204084,5.2441251443275085,Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ccnc2c1,0.3153846153846154,5.2441251443275085
COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C(F)(F)F,0.6491228070175439,9.920818753952377,COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cc1C(F)(F)F,0.3150684931506849,9.920818753952377
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3C(F)(F)F)n2)cc1,0.6041666666666666,7.454692883534176,O=C(O)c1ccc(Nc2nccc(Nc3ccccc3C(F)(F)F)n2)cc1,0.31496062992125984,7.454692883534176
FC(F)(F)c1cnc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,0.4166666666666667,7.769551078621726,FC(F)(F)c1cnc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,0.3142857142857143,7.769551078621726
N#Cc1ccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)cc1,0.5833333333333334,5.84163750790475,N#Cc1ccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)cc1,0.3142857142857143,5.84163750790475
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.7115384615384616,5.42021640338319,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.31386861313868614,5.42021640338319
CNc1nccc(-c2cccnc2Oc2c(C)cc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,0.6862745098039216,7.552841968657781,CNc1nccc(-c2cccnc2Oc2c(C)cc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,0.31333333333333335,7.552841968657781
O=C(O)c1ccc(Nc2nccc(Nc3ccc(F)cc3OC(F)(F)F)n2)cc1,0.7,7.552841968657781,O=C(O)c1ccc(Nc2nccc(Nc3ccc(F)cc3OC(F)(F)F)n2)cc1,0.31297709923664124,7.552841968657781
COc1cc2c(cc1OC)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,0.5396825396825397,6.327902142064282,COc1cc2c(cc1OC)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,0.3129251700680272,6.327902142064282
C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cnc(C(F)(F)F)cn2)c1,0.5576923076923077,9.05551732784983,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cnc(C(F)(F)F)cn2)c1,0.3125,9.05551732784983
