chembl_id,smiles,IC50[nM]
CHEMBL3088220,Brc1ccc(/C(=N\NC(=O)c2ccc(O)cc2)/Cn2c(C)ncc2[N+](=O)[O-])cc1,210.0
CHEMBL1830273,Brc1ccc(/C(=N\NC(=S)N)/C=C/c2ccccc2)cc1,12240.0
CHEMBL3671520,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CS(=O)(=O)C)c3)cc1,24.0
CHEMBL308593,Clc1cc(Nc2ncnc3[nH]c(C)c(-c4ccccc4)c23)ccc1,230.0
CHEMBL422758,Clc1cc(F)c(N=C2NC=Nc3c2cc(OC)c(OCC2CC[NH+](C)CC2)c3)c(F)c1,450.0
CHEMBL3671476,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCC2CCN(C(=O)C(F)(F)F)CC2)c3)cc1,47.0
CHEMBL598307,O=C(OCCCCCCCCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,48.0
CHEMBL305194,Clc1c(F)ccc(Nc2ncnc3NC(=O)/C(=C\c4c(C)cc(C(=O)[O-])[nH]4)/c23)c1,29.0
CHEMBL2031299,Brc1cc(Nc2ncnc3c2cc(NC(=O)CCN2CCOCC2)cc3)ccc1,0.51
CHEMBL2426288,Clc1c(-c2c3n(nc2)C=CC=C3)nc(Nc2c(OC)ccc(NC(=O)/C=C/C[NH+](C)C)c2)nc1,22999.99
CHEMBL1229592,Clc1c(Oc2cc(NC(=O)C=C)ccc2)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)cc2)nc1,2.16
CHEMBL2031309,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)CCN2CCOCC2)c(OCC)c3)c1,2.02
CHEMBL202162,O=C(OC)c1c(OCC[NH+](CC)CC)c2c(c3oc4C(=O)c5c(C(=O)c4c13)cccc5)cccc2,5100.0
CHEMBL77197,O=C([O-])/C(/C#N)=C(\C)/c1cc(OC)c(O)cc1,1100000.29
CHEMBL4065288,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2cnccc2)cc3)ccc1,10.2
CHEMBL3758585,O=C(Nc1ccc(Nc2ncnc3c2cc(OC)c(OCCCN2CC[NH+](C)CC2)c3)cc1)c1ccc(C)cc1,690.0
CHEMBL544074,O=C(C(=C)C[NH+]1CCCCC1)c1ccc(OCc2ccccc2)cc1,1100.0
CHEMBL1928708,Brc1cc(Nc2ncnc3c2cc(NCc2ccc(O)cc2)cc3)ccc1,870.0
CHEMBL3325473,O=C(OC)C1=C(N)N(c2cnccc2)C2=C(C(=O)CCC2)C1C=1c2n(nnn2)-c2c(cccc2)C=1,1100.0
CHEMBL472942,Clc1c(F)ccc(Nc2c3c([nH+]cc2)cc(OC)c(NC(=O)/C=C/CN2CCOCC2)c3)c1,13570.0
CHEMBL3814460,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(NC(=O)NCCN2CCOCC2)cc3)c1,259.0
CHEMBL3355879,O=[N+]([O-])c1n(CCCOc2c(OC)cc3ncnc(Nc4cc(C#C)ccc4)c3c2)ccn1,1.08
CHEMBL3815161,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)NCCN2CCOCC2)cc3)c1,2.92
